id,code,name,industry,concept,sme,gem,st,hs300,sh50,zz500,pe,outstanding,totals,totalAssets,liquidAssets,timeToMarket,pb,rev,profit,holders
3196,300052,中青宝,互联网,,False,False,False,0.0,False,False,129.66,2.6,2.61,108534.9,38080.14,20100211,4.54,0.99,30.36,40358.0
3197,600206,有研新材,半导体,,False,False,False,0.0,False,False,117.04,8.39,8.47,330248.41,263755.25,19990319,2.61,7.17,66.13,68970.0
3198,600258,首旅酒店,酒店餐饮,,False,False,False,0.0,False,False,32.99,5.21,8.16,1718725.75,214291.16,20000601,3.34,40.15,250.87,15326.0
3199,300692,中环环保,环境保护,,False,False,False,0.0,False,False,71.51,0.27,1.07,102854.4,36178.81,20170821,4.82,0.0,0.0,23290.0
3200,300366,创意信息,软件服务,,False,False,False,0.0,False,False,47.69,2.59,5.26,374654.53,220040.66,20140127,1.73,72.12,170.64,15549.0
3201,300563,神宇股份,通信设备,,False,False,False,0.0,False,False,39.88,0.32,0.8,65439.96,36504.76,20161114,3.94,0.74,14.14,11918.0
3202,300543,朗科智能,电气设备,,False,False,False,0.0,False,False,29.42,0.43,1.2,100559.46,68920.5,20160908,3.96,24.47,5.15,17498.0
3203,002499,科林环保,环境保护,,False,False,False,0.0,False,False,56.25,1.63,1.89,190283.66,175224.23,20101109,4.57,305.42,152.08,18364.0
3204,300603,立昂技术,通信设备,,False,False,False,0.0,False,False,37.31,0.57,1.03,124445.82,99134.21,20170126,7.22,247.32,259.16,10752.0
3205,300584,海辰药业,化学制药,,False,False,False,0.0,False,False,48.58,0.32,0.8,57402.41,28236.41,20170112,5.97,55.38,47.12,10214.0
3206,600688,上海石化,石油加工,,False,False,False,0.08,False,False,11.45,73.19,108.14,3645140.0,1748700.75,19931108,2.39,24.87,-0.69,112190.0
3207,603933,睿能科技,纺织机械,,False,False,False,0.0,False,False,20.12,0.26,1.03,134505.25,125388.1,20170706,3.63,0.0,0.0,12275.0
